GeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
M1AP,26.298903116617847,-0.06615585932504557,0.19831534706910084,0.05489623534096858,0.16753279250684644
M6PR,7918.174981930112,0.0046709213503322985,0.06240422836199476,0.9394540345065501,0.9721400741000793
MACC1,8.758346479196874,0.015102126659127618,0.17898891003363782,0.7274904411464332,NA
MACF1,6918.737707816739,-0.030463943031468283,0.15385629977752677,0.7209698957516513,0.8606744518020251
MACROD1,341.129361386409,0.044030090849624094,0.1763834985419344,0.5062465987334259,0.7150783310692255
MACROD2,17.70413510825846,-0.01734641800991832,0.16882814075438574,0.8002670813859001,0.9031027753792807
MAD1L1,735.669188837584,-0.13742909923576013,0.14610550943921982,0.17674745953775425,0.3756974084608468
MAD2L1,4156.578791156309,-0.2398782349111177,0.07286976577802957,3.6777887716585934e-4,0.0031718388246182675
MAD2L1BP,688.0835749230822,0.0715483017442496,0.06531522340953864,0.24044222999070936,0.4589250209987753
MAD2L2,1629.884464796016,-0.25562295652383965,0.06764835918655905,5.373873639404946e-5,6.106363422100906e-4
MADCAM1,33.457136840987026,0.006426243876688829,0.1594379459592331,0.9370713931128574,0.9712428899332589
MADD,3423.7862708404455,0.027306740952901837,0.08869218301171025,0.7266627813817343,0.8625192295309475
MAEA,2450.196144167889,0.012062447207645809,0.09203246161790758,0.8575598325573822,0.9332863567184029
MAF1,4001.621415044266,-0.05023263066562488,0.04228438434441021,0.21888893654248062,0.43114905986474733
MAFF,101.86546971068277,-0.2937188521343793,0.18841044030624107,0.020582159324960724,0.08067482914316056
MAFG,3364.465325708894,-0.07697778587937192,0.06526503031987138,0.20640359475107772,0.4148001434263693
MAFK,656.3804993906592,-0.14823287546494912,0.12446414335438127,0.12802328513780295,0.3029954608380066
MAGED1,24.264076046960685,0.03955369590354378,0.16869375174218398,0.5955279390790145,0.7815209019775886
MAGED2,901.1129863958439,0.02464021929934432,0.10208564113830934,0.7743585241681654,0.8901552628506632
MAGEF1,998.0798295092553,0.675871391926504,0.0715530584646422,3.1919240250492576e-22,4.7453270505732295e-20
MAGEH1,101.74165059729629,0.056419415194822777,0.12697200895943309,0.5447353838169903,0.7438660987541361
MAGI1,83.26576869679225,-0.007415463629444597,0.1738862230873705,0.8911616975915764,0.9470675618849551
MAGI2,110.71125879345297,0.021982220702680404,0.12573358469295856,0.8119539178059645,0.9081729165527993
MAGI3,41.60239357623668,-7.505943209319488e-4,0.1727763472226768,0.9889125697451063,0.9948074892038736
MAGOH,1213.5341716522987,-0.05111400983273745,0.07477104593687078,0.44999903866116314,0.669119725234353
MAGOHB,1150.7014836300211,-0.08778148109758271,0.08924143295098955,0.2619176699337163,0.4843518232092772
MAGT1,2895.390990202641,-0.03935878108764845,0.08157795183691291,0.5881619250488996,0.7760953212183705
MAK,6.544531820607329,-0.008063953305849478,0.18320114073669438,0.5972577308463687,NA
MAK16,3164.243630902816,-0.38835161842126625,0.05478550385750878,2.2790118058141465e-13,1.348829356919766e-11
MALSU1,320.0748845145151,-0.12011179276460683,0.09912684725105887,0.15240609691870274,0.341083752387233
MALT1,344.63327789335335,0.1525714464455886,0.21047446591791055,0.13087596934261006,0.3069243185866732
MAMDC4,192.6346415104155,-0.18596839649160257,0.22867463645077266,0.09095440746613853,0.24067621482609447
MAML2,10.455127722919258,0.981324841116064,0.9364274704680067,0.00587107512400166,NA
MAML3,336.17026517501006,0.7755322909607989,0.11382880868030176,7.275076592784163e-13,4.1109120584022e-11
MAMSTR,10.51704579796689,-0.02204917350948162,0.17737021902954925,0.6656827511153647,NA
MAN1A1,2597.1476075216815,0.25761875048861593,0.05395464595568828,6.497711068443952e-7,1.2294456942837586e-5
MAN1A2,2660.030601830433,-0.0035498523534799463,0.10953231409960733,0.9679400960482116,0.9855390068854517
MAN1B1,793.9761396281316,-0.0014999229560015218,0.13802701405784146,0.9875152212075944,0.994167873180096
MAN1C1,116.80650096639943,0.0938375695741262,0.13226333157922743,0.329909276723279,0.5573467326461456
MAN2A1,1647.984850582331,-0.15234409831300647,0.10694726781723933,0.08522781047636258,0.2299254476623063
MAN2A2,6856.3573919598175,0.11297878243109188,0.0793355991415923,0.11141420316438415,0.2764435861547445
MAN2B1,11390.086619446978,0.04390805417130996,0.05801564331751128,0.4188523748464068,0.6413978594954224
MAN2B2,1355.791321164909,0.18381411584763022,0.12849705872051204,0.06494928681115213,0.1881871679112918
MAN2C1,4418.862400844533,0.021189418397738254,0.07941182915954238,0.772485452604416,0.8892697577547888
MANBA,110.27698281560197,0.21828549179174098,0.2702078006112057,0.060648694337301294,0.17892296122943976
MANEA,674.6270443004843,-0.2658378074201803,0.14567999536148762,0.016655564339617346,0.06881293092023842
MANEAL,991.1669484642804,-0.11517620956928443,0.07243200571053084,0.08287217123734412,0.2255683684420125
MANF,1403.8730502081776,-0.03468529590361816,0.09466995979004365,0.6677419018028865,0.8266019894641601
MANSC1,40.17309979743204,0.004699808116443896,0.15913538938794863,0.9393245817449953,0.9721400741000793
MAP10,396.34840361577005,0.18164504823367267,0.09559834433581217,0.02783985010381814,0.10124171464661647
MAP1A,44.271841226061696,0.14471610085762954,0.20443459927703056,0.14593461493110532,0.3310502218455301
MAP1LC3B,1504.7886894658106,0.0966607034463365,0.07309821964506222,0.14870796279153822,0.33483726855196827
MAP1LC3B2,67.00518521206732,0.21180464945712518,0.197213393694355,0.07269169361085373,0.20491509476576555
MAP1LC3C,31.802375910154268,-0.05052765398880994,0.17131248538976696,0.5043661579346288,0.713359471662656
MAP1S,1629.3507671550026,-0.12067721681530548,0.11310288384860794,0.18059381041377592,0.3812773464830488
MAP2,14.577937117817875,0.005300229810054547,0.17825388459848754,0.90650103165364,NA
MAP2K1,1108.812989762175,-0.05788321598701965,0.12864621050664288,0.5355166797630391,0.7366973776655479
MAP2K2,3622.878891818805,-0.06448624675937165,0.06875600573148322,0.3202805822165433,0.5476740943064758
MAP2K3,1577.1737668223107,-0.037993884158797404,0.07831345452898746,0.5952140539626838,0.7811910778650547
MAP2K4,1090.4276906074672,-0.06855643080337079,0.13640807901393812,0.47832030768678396,0.6917486197356728
MAP2K5,686.359929762632,0.10669945785689397,0.09820892743844883,0.2009859244577656,0.4081611286815896
MAP2K6,340.96407129529695,0.35747128277763485,0.1820787006546741,0.007145792911283187,0.0356661318449658
MAP2K7,2257.126062570394,-0.09109305088993226,0.12585245649943913,0.3336235343517548,0.5611921736240186
MAP3K1,2699.220560170245,-0.21080822816180597,0.04969368753463135,1.0055619658272905e-5,1.406210283230818e-4
MAP3K10,375.04986315988043,0.062212608934052095,0.11934030654155242,0.49869515139717446,0.7093360059215595
MAP3K11,1938.5222657210368,0.06290944345581045,0.09075991746344285,0.4288857184262879,0.6498331535680033
MAP3K12,28.192898245507166,0.2684442761156732,0.3438478932630935,0.03682072982085063,0.12478080705638606
MAP3K13,755.9775894664068,0.17610119412876524,0.09337852471875777,0.030576087347901876,0.10810707214059984
MAP3K14,410.1393158028162,0.6655825817254781,0.14043363889767743,1.7246212638731392e-7,3.675267976663441e-6
MAP3K15,27.479429816146258,0.0720115124409514,0.18175999021190453,0.3404442195940919,0.5686060471166269
MAP3K2,564.2539772378942,0.010910377972732546,0.16331248996318434,0.8899691372310282,0.9461888801073626
MAP3K3,1685.531279420424,0.22717418631964872,0.14817538962194823,0.03780646238783948,0.12722368695751535
MAP3K4,1598.856543066834,0.11095970142324903,0.18068907235775614,0.24375846198290912,0.4636317990153306
MAP3K5,239.77201570717432,0.7427956776354189,0.26844178563244353,3.0639803637311783e-4,0.0027547146711501044
MAP3K6,841.6857451537905,0.06647375188796942,0.12331645705152317,0.47724483897309167,0.6908119998069434
MAP3K7,989.7030245445721,-0.007214178876541668,0.07610873477962228,0.915717810821774,0.9599163956637549
MAP3K8,246.4623184625527,0.35654726857423447,0.15737681149467025,0.0036955298638764273,0.021395353240653142
MAP3K9,34.09632785128494,0.010798378952361914,0.15690407188122338,0.8971256875341314,0.9494439865022649
MAP4,4119.936126684891,-0.10926654396239932,0.09112121078231068,0.181492277597893,0.38226944891929293
MAP4K1,939.0245114419735,0.8516927448512924,0.14354699356744408,1.94767404728532e-10,7.348203475075249e-9
MAP4K2,624.686407774006,-0.0786593929600635,0.13918884055514216,0.4196645776271456,0.6418999671911465
MAP4K3,450.7974989870599,0.07665007511669084,0.14470546235246248,0.42137810818117916,0.6429289408365209
MAP4K4,3922.679394772106,-0.06136142393051534,0.08619382847488277,0.46224052245697134,0.6789531456648621
MAP4K5,527.7597643428048,0.17245279634727737,0.19593776213061334,0.1175181882857404,0.2864663547359606
MAP6D1,145.45382281770665,0.03744606918368476,0.14733515220489019,0.6749616508046393,0.8305345960345071
MAP7,12.272574271878765,-0.018152172322081685,0.17426234394847545,0.7538611285034456,NA
